Submission ID,Respondent ID,Submitted at,Ваша основна зайнятість в ІТ зараз...,Оберіть ваш тайтл або роль у компанії,Categories,Position,Розробники -  основна спеціалізація,Якою мовою ви написали свою першу програму?,Основна мова програмування,"Скільки років ви працюєте з мовою, яку обрали як основну?","Чи використовуєте ви інші мови програмування, крім основної?","Оберіть інші мови програмування, які також використовуєте на поточній посаді",Які мови програмування ви б обрали зараз для наступного комерційного проєкту?,Чи комітили ви у 2024 році в опенсорс проєкти?,Якими мовами програмування ви комітили в опенсорс проєкти у 2024 році?,Чи є у вас власні опенсорс проєкти?,Якими мовами написаний ваш опенсорс проєкт?,Чи плануєте ви наступного року вивчити ще одну мову програмування?,Яку мову програмування ви плануєте вивчити наступного року?,"Основні фреймворки, бібліотеки та платформи: розробка","Основні фреймворки, бібліотеки та платформи: QA","Основні фреймворки, бібліотеки та платформи: Робота з даними",Ви плануєте освоїти наступну мову,"Платформи, для яких розробляєте на поточному місці роботи","Оберіть напрям, у якому зараз працюєте",Загальний стаж роботи за нинішньою ІТ-спеціальністю,Загальний стаж роботи в ІТ,,,,,,,,,,,,,,,,,,,,,,,
Ryrx6K,5M5DNE,2024-12-04 11:15:13,Працюю full-time,Middle,QA,Manual QA,,Python,Python,3 роки,Ні,,Python,Так,Python,Немає,,"Ні, наразі не маю таких планів",,,"PyTest, Selenium, JSON, Postman",,,"Web, Mobile Android, Mobile iOS, Mobile cross-platform","web app,android mobile app,ios mobile app",3,3,,,,,,,,,,,,,,,,,,,,,,,
D6WBlb,xvBLrG,2024-12-04 11:20:04,Працюю full-time,Senior,QA,Automation QA / AQA,,Delphi,Swift,3 роки,Ні,,Kotlin,Ні,,Немає,,"Ні, наразі не маю таких планів",,,XCTest,,,"Mobile iOS, Mobile Android, Web",ios mobile app,6,7,,,,,,,,,,,,,,,,,,,,,,,
E7adBB,OkyKDg,2024-12-04 11:23:05,Працюю full-time,Senior,Other,Graphic Designer,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,
LLo7dz,pv96a1,2024-12-04 11:28:54,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,Java,Java,6 років,Так,Python,Java,Ні,,Немає,,Так,Kotlin,"Spring,TensorFlow,Hibernate",,,Самостійно,Web,,6,6,,,,,,,,,,,,,,,,,,,,,,,
6EVjye,QkypVp,2024-12-04 11:29:47,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,"web app,web api,ios mobile app",4,5,,,,,,,,,,,,,,,,,,,,,,,
QlEeG1,G5yaDz,2024-12-04 11:32:10,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Full Stack розробка,C++,C# / .NET,5 років,Так,"JavaScript, TypeScript, Мови розробки БД (PL/SQL, Transact-SQL)","C# / .NET, JavaScript, TypeScript, Мови розробки БД (PL/SQL, Transact-SQL)",Ні,,Немає,,"Ні, наразі не маю таких планів",,"ASP.NET,Angular / Angular.js,jQuery",,,,Web,,5,5,,,,,,,,,,,,,,,,,,,,,,,
4VGBQo,jv2ql6,2024-12-04 11:36:07,Втратив(-ла) роботу і шукаю нову,Немає тайтлу,Other,Technical Support,,,,,,,,,,,,,,,,,,,,8,10,,,,,,,,,,,,,,,,,,,,,,,
MpGav8,VDyXav,2024-12-04 11:36:23,Працюю full-time,Senior,Other,Customer Success Manager,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,
ppZDvy,4zdY1B,2024-12-04 11:44:20,Працюю full-time,Senior,QA,Manual QA,,,,,,,,,,,,,,,,,,,"web app,web api",7,7,,,,,,,,,,,,,,,,,,,,,,,
RyrDrQ,gvrVW1,2024-12-04 11:47:51,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Full Stack розробка,C# / .NET,C# / .NET,4 роки,Так,JavaScript,"C# / .NET, JavaScript, TypeScript, Go",Ні,,Немає,,"Ні, наразі не маю таких планів",,".NET,ASP.NET,React,Angular / Angular.js",,,,Web,,4,4,,,,,,,,,,,,,,,,,,,,,,,
E7aWpr,ovQNox,2024-12-04 11:58:38,Працюю full-time,Senior,DS/ML/AI,ML Engineer,,Pascal,Python,5 років,Ні,,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,"airflow, PyTorch, Requests, Spark",,Web,,6,9,,,,,,,,,,,,,,,,,,,,,,,
GA7l2p,evPO7e,2024-12-04 12:02:50,Працюю full-time,Немає тайтлу,Other,SysAdmin,,Python,Python,1 рік,Ні,,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,Microcontrollers / Embedded / IoT,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Ryr5YK,kvxjpj,2024-12-04 12:03:06,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,Python,TypeScript,7 років,Ні,,"Python, JavaScript, TypeScript",Ні,,Немає,,Так,Python,Nuxt.js,,,Самостійно,"Web, Mobile Android, Mobile iOS, Mobile cross-platform",,7,7,,,,,,,,,,,,,,,,,,,,,,,
LLopRv,8M5D85,2024-12-04 12:03:12,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Embedded,Basic,C++,7 років,Так,Python,C++,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,Microcontrollers / Embedded / IoT,,7,7,,,,,,,,,,,,,,,,,,,,,,,
5POzGv,dvVJlr,2024-12-04 12:11:43,Працюю full-time,Senior,QA,Manual QA,,,,,,,,,,,,,,,,,,,"android mobile app,ios mobile app",5,5,,,,,,,,,,,,,,,,,,,,,,,
AeQdxN,xvB8Zk,2024-12-04 12:11:52,Працюю full-time,Middle,Other,SysAdmin,,,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,
XPNDA4,gvr8gd,2024-12-04 12:16:57,Працюю full-time,CEO / C-level (Chief) / Director / VP,Other,CTO (Chief Technology Officer) / Technical Director,,Basic,C# / .NET,10 і більше років,Так,Python,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,Web,,4,15,,,,,,,,,,,,,,,,,,,,,,,
JvB6x4,lvZ8zB,2024-12-04 12:19:32,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,web app,5,5,,,,,,,,,,,,,,,,,,,,,,,
4VG2JA,G5yOPQ,2024-12-04 12:21:00,Працюю full-time,Senior,QA,Manual QA,,,,,,,,,,,,,,,,,,,web api,8,8,,,,,,,,,,,,,,,,,,,,,,,
Ryrzbv,6M5ELk,2024-12-04 12:22:00,Працюю full-time,Lead/Team Lead,Other,Game Designer,,Python,JavaScript,1 рік,Ні,,,,,,,"Ні, наразі не маю таких планів",,,,,,"Mobile Android, Mobile iOS",,3,7,,,,,,,,,,,,,,,,,,,,,,,
aqlBKy,5M5PXo,2024-12-04 12:23:24,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,Python,TypeScript,7 років,Так,Java,TypeScript,Ні,,Немає,,Так,Rust,React,,,Самостійно,Web,,9,9,,,,,,,,,,,,,,,,,,,,,,,
VOxZag,G5yAzj,2024-12-04 12:23:45,Працюю full-time,Middle,Other,Compensation and Benefit Specialist,,,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,
ZrQdko,jv2AyR,2024-12-04 12:24:40,Працюю full-time,Junior,SE,Software Engineer / Software Developer,,C++,C++,2 роки,Так,Python,C++,Ні,,Є,C++,"Ні, наразі не маю таких планів",,,,,,Desktop,,2,3,,,,,,,,,,,,,,,,,,,,,,,
XPNGLe,YkylVv,2024-12-04 12:26:58,Працюю full-time,Senior,QA,Manual QA,,,,,,,,,,,,,,,,,,,"ios mobile app,android mobile app",4,4,,,,,,,,,,,,,,,,,,,,,,,
jAEMz6,G5yAVo,2024-12-04 12:31:31,Працюю full-time,Senior,Other,Email Marketing Specialist / E-mail Marketing specialist,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,
jAEBpQ,vKb5DQ,2024-12-04 12:31:54,Працюю part-time,Middle,Analyst,Data Analyst,,Python,Python,Пів року,Так,"R, SQL","Python, SQL",Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,Desktop,,2,2,,,,,,,,,,,,,,,,,,,,,,,
y57yxg,dvVegK,2024-12-04 12:33:16,Працюю full-time,Junior,QA,Manual QA,,JavaScript,JavaScript,"1,5 року",Так,Python,JavaScript,Ні,,Немає,,Так,Java,,"Postman, Selenium",,Самостійно,Web,"web app,web api",1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,
Ryr4Ed,JMYvNz,2024-12-04 12:35:34,Працюю full-time,Lead/Team Lead,Other,UI/UX Designer,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,
OMVPp7,B05WO1,2024-12-04 12:35:36,Працюю full-time,Senior,QA,General QA,,,,,,,,,,,,,,,,,,,"web app,web api,android mobile app,ios mobile app,windows desktop apps,macos desktop apps",7,7,,,,,,,,,,,,,,,,,,,,,,,
lk4RAX,VDy6Py,2024-12-04 12:40:09,Працюю full-time,Senior,Other,BA (Business Analyst),,Fortran,SQL,9 років,Ні,,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,"Web, Desktop",,7,10,,,,,,,,,,,,,,,,,,,,,,,
oLxOrx,W1d7qR,2024-12-04 12:43:09,Працюю full-time,Senior,QA,Manual QA,,,,,,,,,,,,,,,,,,,"web app,android mobile app,ios mobile app",8,8,,,,,,,,,,,,,,,,,,,,,,,
v5W27D,4zdbz5,2024-12-04 12:43:44,Працюю full-time,Junior,SE,Software Engineer / Software Developer,Back-end  розробка,C++,Java,2 роки,Так,TypeScript,Java,Ні,,Немає,,Так,TypeScript,Jersey,,,З допомогою професійних викладачів (курсів або індивідуальних занять),Web,,1,1,,,,,,,,,,,,,,,,,,,,,,,
g6OL51,YkyAXJ,2024-12-04 12:44:41,Працюю full-time,Senior,Other,HR Manager / HR specialist,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,
v5W2Z4,Pkyqv0,2024-12-04 12:45:22,Працюю full-time,Junior,SE,Software Engineer / Software Developer,Front-end  розробка,Pascal,JavaScript,3 роки,Ні,,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,React,,,,Web,,3,3,,,,,,,,,,,,,,,,,,,,,,,
BW9ZBY,VDy6ag,2024-12-04 12:46:00,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,"web app,windows desktop apps,macos desktop apps",3,3,,,,,,,,,,,,,,,,,,,,,,,
g6O4VK,DMyGvj,2024-12-04 12:46:37,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Full Stack розробка,JavaScript,C# / .NET,"1,5 року",Так,JavaScript,C# / .NET,Ні,,Немає,,"Ні, наразі не маю таких планів",,".NET,ASP.NET",,,,Web,,1.5,5,,,,,,,,,,,,,,,,,,,,,,,
x562Jo,8M5lyz,2024-12-04 12:47:17,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,JavaScript,JavaScript,2 роки,Ні,,JavaScript,Так,TypeScript,Немає,,"Ні, наразі не маю таких планів",,"React,Vue.js",,,,Web,,2,3,,,,,,,,,,,,,,,,,,,,,,,
oLxdAV,Ay5gDD,2024-12-04 12:54:08,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,TypeScript,3 роки,Ні,,Rust,Ні,,Немає,,Так,Java,Angular / Angular.js,,,Самостійно,"Web, Desktop",,3,3,,,,,,,,,,,,,,,,,,,,,,,
QlEdkG,Xzybj4,2024-12-04 12:55:10,Втратив(-ла) роботу і шукаю нову,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,Pascal,Java,4 роки,Так,JavaScript,JavaScript,Ні,,Немає,,Так,JavaScript,"React,Spring",,,Самостійно,"Web, Desktop",,4,4,,,,,,,,,,,,,,,,,,,,,,,
x56ylE,jv2RkR,2024-12-04 13:02:37,Працюю full-time,Senior,QA,Automation QA / AQA,,Java,Java,10 і більше років,Так,TypeScript,Java,Ні,,Немає,,Так,Python,,"Maven, Selenium, JSON, Postman",,Самостійно,Web,"web app,web api",8,15,,,,,,,,,,,,,,,,,,,,,,,
WVZMDJ,4zdMJB,2024-12-04 13:03:37,Працюю full-time,Middle,Other,Web Designer,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,
PJPB6x,vKblWQ,2024-12-04 13:09:48,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,C,JavaScript,6 років,Так,TypeScript,TypeScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,"React,Angular / Angular.js,Svelte",,,,Web,,6,6,,,,,,,,,,,,,,,,,,,,,,,
WVZpkQ,yzkBB8,2024-12-04 13:15:41,Працюю full-time,Middle,DS/ML/AI,Data Engineer / Big Data Engineer,,Python,Python,3 роки,Так,SQL,Python,Ні,,Немає,,Так,Rust,,,"airflow, dbt",Самостійно,"Web, Other",,1.5,3,,,,,,,,,,,,,,,,,,,,,,,
AeQboz,5M5NXo,2024-12-04 13:19:08,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,JavaScript,TypeScript,4 роки,Ні,,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,React,,,,Web,,5,6,,,,,,,,,,,,,,,,,,,,,,,
deRZzK,6M5q1N,2024-12-04 13:20:42,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Salesforce,PHP,Salesforce Apex,6 років,Так,SQL,,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,Web,,6,8,,,,,,,,,,,,,,,,,,,,,,,
9jr6A1,vKbRzD,2024-12-04 13:21:42,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,web app,10,10,,,,,,,,,,,,,,,,,,,,,,,
rMq0gN,yzkOe8,2024-12-04 13:23:46,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,JavaScript,TypeScript,7 років,Так,JavaScript,TypeScript,Ні,,Немає,,Так,Go,"Next.js,React",,,Самостійно,Web,,7,7,,,,,,,,,,,,,,,,,,,,,,,
BW989e,QkyLKY,2024-12-04 13:29:34,Працюю full-time,Middle,Other,HR Manager / HR specialist,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,
QlE8JA,rvWXXp,2024-12-04 13:31:45,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Full Stack розробка,C# / .NET,JavaScript,10 і більше років,Так,"Rust, Python","Rust, TypeScript, Python",Так,"TypeScript, Rust",Є,Rust,"Ні, наразі не маю таких планів",,"Nest.js,React",,,,Web,,7,9,,,,,,,,,,,,,,,,,,,,,,,
aqlKXZ,Ndykxl,2024-12-04 13:41:27,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,Delphi,PHP,10 і більше років,Так,"TypeScript, JavaScript, Java, SQL","PHP, TypeScript, SQL",Ні,,Немає,,"Ні, наразі не маю таких планів",,"Symfony,React",,,,Web,,10,10,,,,,,,,,,,,,,,,,,,,,,,
E7avP4,Yky8p0,2024-12-04 13:42:08,Працюю full-time,Немає тайтлу,Other,Technical Support,,,,,,,,,,,,,,,,,,,,0.25,2,,,,,,,,,,,,,,,,,,,,,,,
ppJZJZ,ZDWvvv,2024-12-04 13:42:53,Працюю full-time,Middle,Product Management,Product Manager,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,
v5WE14,W1dykv,2024-12-04 13:42:58,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,TypeScript,9 років,Так,JavaScript,TypeScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,Angular / Angular.js,,,,Web,,10,10,,,,,,,,,,,,,,,,,,,,,,,
eWoYZe,7M56Ez,2024-12-04 13:50:03,Працюю full-time,Tech Lead,SE,Software Engineer / Software Developer,Full Stack розробка,JavaScript,TypeScript,7 років,Так,Java,TypeScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,"Next.js,Nest.js,React,Express,Node.js",,,,"Web, Desktop, Mobile Android, Mobile cross-platform, Microcontrollers / Embedded / IoT",,7,11,,,,,,,,,,,,,,,,,,,,,,,
aqlagq,6M5abB,2024-12-04 13:53:01,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,"android mobile app,ios mobile app",5,5,,,,,,,,,,,,,,,,,,,,,,,
BW9j1e,7M56b2,2024-12-04 13:56:17,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,Basic,TypeScript,7 років,Так,"JavaScript, Java","TypeScript, JavaScript, Java",Ні,,Немає,,"Ні, наразі не маю таких планів",,Angular / Angular.js,,,,Web,,15,15,,,,,,,,,,,,,,,,,,,,,,,
x5lAkE,avyGry,2024-12-04 13:58:50,Працюю full-time,Senior,Analyst,System Analyst,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,,,,,,,,,,,,,,
LLo6gj,4zdegO,2024-12-04 14:00:44,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,"web app,web api",5,6,,,,,,,,,,,,,,,,,,,,,,,
4VvxbO,EMNP92,2024-12-04 14:05:29,Працюю full-time,Senior,QA,Automation QA / AQA,,Java,Java,8 років,Так,Swift,Python,Ні,,Немає,,Так,Python,,"Selenium, JUnit, Rest Assured, TestNG, XCTest",,Самостійно,"Web, Mobile iOS, Mobile Android, Mobile cross-platform","android mobile app,ios mobile app,web app",8,8,,,,,,,,,,,,,,,,,,,,,,,
jAEvra,ovQ4QX,2024-12-04 14:05:33,Працюю full-time,Junior,Other,UI/UX Designer,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
PJPrpx,VDykKj,2024-12-04 14:06:26,Працюю full-time,Middle,Other,SOC Engineer / SecOps Engineer,,Python,Python,5 років,Ні,,"Важко сказати, не знаю",Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,
y571Md,5M5y7N,2024-12-04 14:07:01,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,Pascal,TypeScript,3 роки,Так,"JavaScript, TypeScript","TypeScript, JavaScript, SQL",Ні,,Немає,,"Ні, наразі не маю таких планів",,"React,Next.js",,,,Web,,7,7,,,,,,,,,,,,,,,,,,,,,,,
4VGzAd,1651NQ,2024-12-04 14:14:40,Працюю full-time,Lead/Team Lead,SE,Software Engineer / Software Developer,Front-end  розробка,C,TypeScript,4 роки,Так,"C# / .NET, JavaScript","TypeScript, Go",Ні,,Немає,,Так,Go,"Angular / Angular.js,React,ASP.NET",,,Самостійно,Web,,4,4,,,,,,,,,,,,,,,,,,,,,,,
oLxzqe,Kky7BD,2024-12-04 14:16:11,Працюю full-time,Senior,QA,Automation QA / AQA,,Java,Java,5 років,Так,"Python, TypeScript",Java,Ні,,Немає,,"Ні, наразі не маю таких планів",,,"Cypress, JUnit, Maven, Rest Assured, Selenide/NSelen/Selen",,,"Web, Desktop","web app,web api",3,6,,,,,,,,,,,,,,,,,,,,,,,
84E2ek,AyGPbN,2024-12-04 14:23:19,Працюю full-time,CEO / C-level (Chief) / Director / VP,Other,COO (Chief Operating Officer),,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,,,,,,,,,,,,,,
rMqgkN,EMEz6l,2024-12-04 14:30:30,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,C++,JavaScript,3 роки,Так,"Solidity, TypeScript","TypeScript, JavaScript, Go",Ні,,Немає,,"Ні, наразі не маю таких планів",,"Express,Node.js,Vue.js",,,,"Web, Mobile cross-platform",,3,3,,,,,,,,,,,,,,,,,,,,,,,
0RAlx6,jvYDd9,2024-12-04 14:36:58,Працюю full-time,Middle,QA,Automation QA / AQA,,Python,JavaScript,4 роки,Ні,,,Ні,,Немає,,Так,C++,,,,Самостійно,"Microcontrollers / Embedded / IoT, Mobile iOS, Mobile Android",embedded (electronics/automotive etc),4,4,,,,,,,,,,,,,,,,,,,,,,,
VOxy8J,Ok9DyM,2024-12-04 14:40:20,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,Python,Python,5 років,Так,PHP,Python,Ні,,Немає,,Так,Go,FastAPI,,,Самостійно,"Mobile cross-platform, Web",,5,5,,,,,,,,,,,,,,,,,,,,,,,
y57ReB,evl5Ne,2024-12-04 14:49:58,Працюю full-time,Middle,QA,General QA,,Java,Python,1 рік,Ні,,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,,pandas,,,Web,web app,4,4,,,,,,,,,,,,,,,,,,,,,,,
5POD1N,LkNDdy,2024-12-04 14:50:00,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,Python,TypeScript,3 роки,Так,JavaScript,TypeScript,Ні,,Немає,,Так,Go,"Vue.js,Nuxt.js,React",,,Самостійно,Web,,4,4,,,,,,,,,,,,,,,,,,,,,,,
MpGq7X,MMq18M,2024-12-04 14:50:01,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Mobile розробка,Delphi,Kotlin,4 роки,Так,"Dart, JavaScript",Kotlin,Ні,,Немає,,"Ні, наразі не маю таких планів",,"Jetpack Compose,Flutter,Android SDK (Native),React Native",,,,"Mobile Android, Mobile cross-platform, Microcontrollers / Embedded / IoT",,5,6,,,,,,,,,,,,,,,,,,,,,,,
VOxAAN,EMEq6N,2024-12-04 14:51:27,Працюю full-time,Junior,SE,Software Engineer / Software Developer,Full Stack розробка,JavaScript,JavaScript,"1,5 року",Ні,,JavaScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,Node.js,,,,Web,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,
84EgLY,RkaWAK,2024-12-04 14:52:10,Працюю full-time,Middle,Project Management,Project Manager,,,,,,,,,,,,,,,,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,
LLoNRv,B0lEY4,2024-12-04 14:55:05,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Full Stack розробка,C++,JavaScript,5 років,Так,TypeScript,TypeScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,"Express,Fastify,Node.js,React",,,,Web,,6,6,,,,,,,,,,,,,,,,,,,,,,,
5POggM,lv1Brp,2024-12-04 14:55:28,Працюю full-time,Middle,Other,HR People Partner,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,
lk4KoW,NdykzG,2024-12-04 14:59:00,Працюю full-time,Lead/Team Lead,QA,General QA,,,,,,,,,,,,,,,,,,,"web api,android mobile app,windows desktop apps,web app",11,11,,,,,,,,,,,,,,,,,,,,,,,
x56Led,qvMLK5,2024-12-04 15:00:03,Працюю full-time,Tech Lead,SE,Software Engineer / Software Developer,Front-end  розробка,Basic,TypeScript,7 років,Ні,,TypeScript,Ні,,Немає,,Так,Python,"Next.js,Angular / Angular.js",,,Самостійно,Web,,8,13,,,,,,,,,,,,,,,,,,,,,,,
OMVKK7,zLoj9E,2024-12-04 15:09:23,Працюю full-time,Junior,Other,BA (Business Analyst),,Python,SQL,Пів року,Так,Python,"Мови розробки БД (PL/SQL, Transact-SQL)",Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,"Desktop, Web, Smart TV, Mobile cross-platform, Microcontrollers / Embedded / IoT, Mobile iOS, Mobile Android, Mobile other",,1.5,2,,,,,,,,,,,,,,,,,,,,,,,
VOxaXM,VDAjb6,2024-12-04 15:16:24,Працюю full-time,Lead/Team Lead,SE,Software Engineer / Software Developer,Back-end  розробка,Pascal,Java,10 і більше років,Так,"Python, JavaScript, SQL",Java,Ні,,Немає,,Так,Erlang,Spring,,,Самостійно,Web,,15,15,,,,,,,,,,,,,,,,,,,,,,,
ppZpeJ,pv1ylb,2024-12-04 15:35:24,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,Pascal,TypeScript,4 роки,Так,JavaScript,JavaScript,Ні,,Є,JavaScript,"Ні, наразі не маю таких планів",,"React,Next.js,Node.js,nestjs",,,,Web,,4,4,,,,,,,,,,,,,,,,,,,,,,,
Ryrq5v,VDAQvE,2024-12-04 15:35:56,Працюю full-time,Senior,DS/ML/AI,Data Engineer / Big Data Engineer,,Python,Python,4 роки,Ні,,Java,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,dbt,,Other,,5,5,,,,,,,,,,,,,,,,,,,,,,,
lk4kBk,ZDKEp0,2024-12-04 15:38:57,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Full Stack розробка,C++,Swift,4 роки,Так,TypeScript,Swift,Ні,,Немає,,"Ні, наразі не маю таких планів",,React,,,,Web,,15,15,,,,,,,,,,,,,,,,,,,,,,,
v5W5vv,B0lpQK,2024-12-04 15:40:11,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Full Stack розробка,Pascal,Elixir,3 роки,Ні,,Elixir,Ні,,Немає,,"Ні, наразі не маю таких планів",,Phoenix,,,,Web,,8,8,,,,,,,,,,,,,,,,,,,,,,,
4VGbxX,W1BRkL,2024-12-04 15:42:10,Працюю full-time,Middle,Other,BA (Business Analyst),,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,
AeQXvD,EMElrL,2024-12-04 15:44:18,Втратив(-ла) роботу і шукаю нову,Senior,SE,Software Engineer / Software Developer,Full Stack розробка,C# / .NET,C# / .NET,7 років,Так,"Python, TypeScript","C# / .NET, Python",Ні,,Немає,,"Ні, наразі не маю таких планів",,".NET,Node.js",,,,Web,,9,9,,,,,,,,,,,,,,,,,,,,,,,
PJPqkP,6MyKoJ,2024-12-04 15:47:31,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Embedded,Pascal,C,10 і більше років,Так,"Python, C++, Assembler",C,Так,C,Немає,,"Ні, наразі не маю таких планів",,,,,,"Microcontrollers / Embedded / IoT, Mobile Android",,15,15,,,,,,,,,,,,,,,,,,,,,,,
aqlMYB,kv1GXd,2024-12-04 15:49:52,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,Pascal,TypeScript,3 роки,Так,"Perl, SQL, JavaScript","Python, C# / .NET",Ні,,Немає,,Так,Python,Express,,,Самостійно,Web,,3,11,,,,,,,,,,,,,,,,,,,,,,,
oLxPMb,lv16LX,2024-12-04 15:51:34,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,C++,TypeScript,4 роки,Так,JavaScript,TypeScript,Ні,,Є,TypeScript,Так,Solidity,React,,,Самостійно,"Web, Mobile cross-platform, Mobile other",,5,5,,,,,,,,,,,,,,,,,,,,,,,
84EBKz,JMxODX,2024-12-04 15:53:13,Працюю full-time,Middle,SE,Software Engineer / Software Developer,,Java,Java,4 роки,Ні,,Java,Ні,,Немає,,Так,Python,,,,Самостійно,Web,,4,4,,,,,,,,,,,,,,,,,,,,,,,
jAERb1,kv1NAd,2024-12-04 15:57:05,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Full Stack розробка,Pascal,TypeScript,4 роки,Так,"Python, Java, SQL","JavaScript, TypeScript",Ні,,Немає,,Так,Rust,"Node.js,React,Spring,Remix,Astro",,,З допомогою професійних викладачів (курсів або індивідуальних занять),"Web, Mobile cross-platform, Mobile iOS, Mobile Android",,4,4,,,,,,,,,,,,,,,,,,,,,,,
4VG6y5,6MyZ9B,2024-12-04 15:58:41,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,Python,Python,4 роки,Так,SQL,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,Django,,,,Web,,4,4,,,,,,,,,,,,,,,,,,,,,,,
