"Timestamp","Якою мовою ви написали свою першу програму ?","Чи можете виділити одну мову програмування, якою ви користуєтеся найчастіше?","Якою мовою ви пишете для роботи зараз?","Frontend: які фреймворки використовуєте в роботі?","Frontend: які фреймворки використовуєте в роботі?  ","Backend: які фреймворки використовуєте в роботі?","Backend: які фреймворки використовуєте в роботі?","Mobile: які фреймворки використовуєте в роботі?","Mobile: які фреймворки використовуєте в роботі?"," Інші фреймворки/бібліотеки","Улюблене IDE","Web: які фреймворки використовуєте в роботі?","Web: які фреймворки використовуєте в роботі?","Фреймворки для Distributed computing","Distributed computing: інші фреймворки","Інші","Версія JVM","Улюблене IDE","Найважливі бібліотеки та фреймворки, котрі ви використовуєте (через кому)","Улюблене IDE","Web: які фреймворки використовуєте в роботі?","Web: які фреймворки використовуєте в роботі?","Обробка даних: які фреймворки використовуєте в роботі?","Чи використовуєте ви mypy?","Бібліотеки загального призначення","Улюблене IDE","Які відомі веб-фреймворки ви використовуєте?","Інші важливі бібліотеки, які використовуєте в роботі","Яку версію PHP  ви використовуєте ?","Улюблене  IDE","Якими мовами ви пишете для роботи зараз?","Які додаткові мови ви використовуєте для роботи?","Яку мову програмування ви б обрали зараз для наступного комерційного проєкту?","Чи є у вас проєкти з відкритим кодом?  Якщо є, то якими мовами?","Чи плануєте ви цього року вивчити ще одну мову програмування?","Якщо так, то що за мова це буде? ","Ви плануєте освоїти наступну мову","Ви працюєте здебільшого в царині:","Ваша платформа?","Скільки років ви працюєте в індустрії розробки ПЗ?","Скільки років ви працюєте з мовою, що вибрана вами в якості основної? ","Скільки вам років?","Ви живете зараз в Україні?","Чи брали ви участь у наших попередніх опитуваннях на цю ж тему?"
"2021/01/07 4:02:40 PM GMT+2","C++","Так","C++","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Java","C++","C++","Так","Java","Самостійно","Обробка масивів даних","","5","8","35","Так","Ні"
"2021/01/07 4:25:01 PM GMT+2","C++","Так","C++","","","","","","","","","","","","","","","","STL","Visual Studio Code","","","","","","","","","","","","C#","C#","Java;C#;C++;Kotlin","Так","Kotlin","Самостійно","Десктоп-розробка","","10","10","30","Ні","Так"
"2021/01/07 4:25:14 PM GMT+2","Java","Ні","","","","","","","","","","","","","","","","","Spring Angular2+","IntelijIdea","","","","","","","","","","","Java;TypeScript","Java;TypeScript","Java","","Ні","","Самостійно","Веб-фронтенд","","4","4","31","Так","Не пам'ятаю"
"2021/01/07 4:29:07 PM GMT+2","Pascal/Delphi","Так","Rust","","","","","","","","","","","","","","","","serde,actix-web,diesel,clap,tokio","vim","","","","","","","","","","","","JavaScript;Python;TypeScript","Rust","Python;TypeScript;Rust","Ні","","Самостійно","Бекенд програмування","","10","4","29","Так","Ні"
"2021/01/07 4:29:36 PM GMT+2","Pascal/Delphi","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Symfony","","7.x","PhpStorm","","JavaScript;Python","C#","","Так","C#","За допомогою колег","Бекенд програмування","","8","7","28","Ні","Так"
"2021/01/07 4:33:31 PM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","","json.net, .net, xamarin., litedb","Visual Studio","","","","","","","","","","","","C#","C#","C#","Ні","C#","Самостійно","Бекенд програмування","","15","13","34","Так","Так"
"2021/01/07 4:35:39 PM GMT+2","C#","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Symfony","","7.x","php storm","","JavaScript;Python;T-SQL","TypeScript","","Так","Go","Самостійно","Бекенд програмування","","4","4","24","Так","Не пам'ятаю"
"2021/01/07 4:45:28 PM GMT+2","Java","Так","Java","","","","","","","","","Spring","","","","","8.x","Intellij","","","","","","","","","","","","","","Java","Java","Java","Ні","","","Бекенд програмування","","1","1","22","Так","Не пам'ятаю"
"2021/01/07 4:46:31 PM GMT+2","Basic","Так","Java","","","","","","","","","Spring","","Kafka","","","11.x","Intellij IDEA","","","","","","","","","","","","","","JavaScript;Groovy","Java","","Ні","","За допомогою професійних викладачів (курсів або індивідуальних занять)","Бекенд програмування","","6","6","28","Так","Так"
"2021/01/07 4:50:42 PM GMT+2","","Ні","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Java;TypeScript","","TypeScript","","Ні","","","","","45","5","27","Так","Так"
"2021/01/07 5:07:20 PM GMT+2","C++","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Laravel","Guzzle","7.x","PhpStorm","","JavaScript","PHP","","Ні","","Самостійно","Бекенд програмування","","3","3","31","Так","Не пам'ятаю"
"2021/01/07 5:08:14 PM GMT+2","Pascal/Delphi","Так","JavaScript","React","","Next.js;NestJS","","","","","webStorm","","","","","","","","","","","","","","","","","","","","","Python;TypeScript","JavaScript","JavaScript;Python;TypeScript","Ні","","Самостійно","Веб-фронтенд","","8","5","29","Так","Не пам'ятаю"
"2021/01/07 5:11:59 PM GMT+2","PHP","Так","JavaScript","Vue.js","","","Nuxt.js","","","","Webstorm","","","","","","","","","","","","","","","","","","","","","PHP","JavaScript","JavaScript","Так","C++","Самостійно","Веб-фронтенд","","3","3","22","Так","Ні"
"2021/01/07 5:18:08 PM GMT+2","JavaScript","Так","TypeScript","React","","","","React Native","","","VS Code","","","","","","","","","","","","","","","","","","","","","JavaScript","TypeScript","","Ні","","Самостійно","Веб-фронтенд","","1","1","30","Так","Ні"
"2021/01/07 5:19:55 PM GMT+2","Basic","Так","Java","","","","","","","","","Spring","","","","","8.x","NetBeans","","","","","","","","","","","","","","JavaScript;PHP;TypeScript;Pascal/Delphi;PL-SQL","Java","Java;C++;C;Pascal/Delphi","Ні","","","Обробка масивів даних","","20","8","45","Так","Не пам'ятаю"
"2021/01/07 5:21:27 PM GMT+2","Java","Так","Kotlin","","","","","","","","","","","","","","","","","Intelij IDEA","","","","","","","","","","","","Ruby;Scala","Rust","Java;Scala;Rust","Так","Rust","Самостійно","Бекенд програмування","","11","1","34","Так","Так"
"2021/01/07 5:22:29 PM GMT+2","PHP","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Laravel","","7.x","phpstorm","","JavaScript;PHP","JavaScript","JavaScript","Так","JavaScript","Самостійно","Fullstack","","4","4","25","Так","Ні"
"2021/01/07 5:36:31 PM GMT+2","Java","Так","Java","","","","","","","","","Spring;Dropwizard","","Kafka","","","8.x","","","","","","","","","","","","","","","JavaScript;Python;TypeScript","Java","Java","Так","JavaScript","За допомогою професійних викладачів (курсів або індивідуальних занять)","Бекенд програмування","","3","3","22","Так","Не пам'ятаю"
"2021/01/07 5:36:42 PM GMT+2","Basic","Так","JavaScript","React","","NestJS;Koa","","React Native","","GraphQL, Apollo","vscode","","","","","","","","","","","","","","","","","","","","","Go","JavaScript","JavaScript","Так","Go","Самостійно","Full stack","","8","5","30","Так","Так"
"2021/01/07 5:41:08 PM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","","Angular, React","Visual Studio, Code","","","","","","","","","","","","JavaScript;TypeScript","C#","","Ні","","","Бекенд програмування","","5","4","30","Так","Не пам'ятаю"
"2021/01/07 5:41:19 PM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","","Angular, React","Visual Studio, Code","","","","","","","","","","","","JavaScript;TypeScript","C#","","Ні","","","Бекенд програмування","","5","4","30","Так","Не пам'ятаю"
"2021/01/07 5:41:26 PM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","","Angular, React","Visual Studio, Code","","","","","","","","","","","","JavaScript;TypeScript","C#","","Ні","","","Бекенд програмування","","5","4","30","Так","Не пам'ятаю"
"2021/01/07 5:44:45 PM GMT+2","C++","Так","C#","","","","","","","","","","","","","","","",".NET Core, ReactJs","Visual Studio","","","","","","","","","","","","JavaScript;TypeScript","C#","C#","Так","Python","Самостійно","Бекенд програмування","","6","6","31","Так","Не пам'ятаю"
"2021/01/07 5:53:23 PM GMT+2","C","Ні","","","","","","","","","","","","","","","","","node.js, express.js, spring","Jet Brains Products","","","","","","","","","","","JavaScript;Java","Python;C","Java","JavaScript;Java","Ні","","Самостійно","Бекенд програмування","","0","2","19","Ні","Ні"
"2021/01/07 5:55:20 PM GMT+2","C++","Ні","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Java;Python;Groovy","Python","Java","","Ні","","Самостійно","Десктоп-розробка","","","","20","Так","Ні"
"2021/01/07 5:58:33 PM GMT+2","JavaScript","Так","JavaScript","Vue.js","","Express","","","","","VS Code","","","","","","","","","","","","","","","","","","","","","TypeScript","TypeScript","JavaScript","Так","C#","Самостійно","Веб-фронтенд","","3","2.5","18","Так","Не пам'ятаю"
"2021/01/07 5:59:33 PM GMT+2","C++","Так","JavaScript","Angular","","","","","","","webstorm","","","","","","","","","","","","","","","","","","","","","","JavaScript","JavaScript;TypeScript","Ні","","","Веб-фронтенд","","0.5","1","21","Так","Ні"
"2021/01/07 6:00:31 PM GMT+2","Python","Так","Ruby","","","","","","","","","","","","","","","","Rails, Grape","VSCode","","","","","","","","","","","","JavaScript;TypeScript","Ruby","","Так","Java","За допомогою колег","Бекенд програмування","","3","3","37","Так","Не пам'ятаю"
"2021/01/07 6:04:24 PM GMT+2","Pascal/Delphi","Так","Python","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ruby","JavaScript","Ruby","Так","JavaScript","За допомогою професійних викладачів (курсів або індивідуальних занять)","","","0","1","15","Так","Ні"
"2021/01/07 6:05:23 PM GMT+2","Python","Так","Python","","","","","","","","","","","","","","","","","","","","NumPy;pandas","Ні","","pycharm","","","","","","PL-SQL","JavaScript","","Так","JavaScript","Самостійно","Обробка масивів даних","","","","","Так","Ні"
"2021/01/07 6:06:24 PM GMT+2","Pascal/Delphi","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Beryl","","7.x","PhpStorm","","JavaScript;T-SQL;sh","Java","JavaScript;Python;TypeScript","Так","Dart","Самостійно","Бекенд програмування","","15","12","39","Так","Не пам'ятаю"
"2021/01/07 6:06:30 PM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","",".Net Framework, Asp .Net ","Visual Studio","","","","","","","","","","","","T-SQL","C#","","Ні","","","Бекенд програмування","","1","1","20","Так","Ні"
"2021/01/07 6:09:35 PM GMT+2","C++","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Custom company framework","","7.x","PhpStorm","","JavaScript","PHP","","Так","Python","Самостійно","Бекенд програмування","","2","3","23","Так","Ні"
"2021/01/07 6:12:29 PM GMT+2","Pascal/Delphi","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Laravel","","7.x","PHPStorm","","JavaScript","PHP","PHP","Так","JavaScript","Самостійно","Бекенд програмування","","3","3","23","Так","Ні"
"2021/01/07 6:19:02 PM GMT+2","Basic","Так","Java","","","","","","","","","Spring","","Kafka","","","8.x","eclipse","","","","","","","","","","","","","","JavaScript","Java","","Ні","","Самостійно","Бекенд програмування","","14","7","34","Так","Ні"
"2021/01/07 6:22:00 PM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","","EF","Visual Studio","","","","","","","","","","","","PL-SQL","C#","C#","Ні","C++","Самостійно","Бекенд програмування","","6","6","35","Так","Так"
"2021/01/07 6:29:54 PM GMT+2","C++","Так","C++","","","","","","","","","","","","","","","","STL","Visual Studio Code","","","","","","","","","","","","C#","C#","Java;C#;C++;Kotlin","Так","Kotlin","Самостійно","Десктоп-розробка","","10","10","30","Ні","Так"
"2021/01/07 6:34:26 PM GMT+2","C#","Так","Java","","","","","","","","","","","","","","8.x","Intelij","","","","","","","","","","","","","","JavaScript","Java","Java","Так","JavaScript","За допомогою професійних викладачів (курсів або індивідуальних занять)","Бекенд програмування","","1","2","22","Так","Ні"
"2021/01/07 6:38:11 PM GMT+2","Delphi","Ні","","","","","","","","","","","","","","","","","FastAPI","PyCharm","","","","","","","","","","","C#;Python","JavaScript;PHP","Python","","Так","JavaScript","Самостійно","Бекенд програмування","","7","2","34","Так","Ні"
"2021/01/07 6:39:33 PM GMT+2","Basic","Так","C++","","","","","","","","","","","","","","","","Qt, Boost, GStreamer","KDevelop","","","","","","","","","","","","Python","C++","C++","Ні","","Самостійно","Системне програмування","","13","10","31","Так","Не пам'ятаю"
"2021/01/07 6:40:34 PM GMT+2","Pascal/Delphi","Так","Java","","","","","","","","","Dropwizard","","","","Guice","11.x","IDEA","","","","","","","","","","","","","","Go","Go","Go","Так","Swift","Самостійно","Бекенд програмування","","8","8","36","Так","Не пам'ятаю"
"2021/01/07 6:56:03 PM GMT+2","Pascal/Delphi","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Laravel","","7.x","PhpStorm","","JavaScript;TypeScript","JavaScript","JavaScript;PHP","Так","JavaScript","Самостійно","Бекенд програмування","","5","5","39","Так","Не пам'ятаю"
"2021/01/07 7:11:13 PM GMT+2","C","Так","Java","","","","","","","","","","","","","","8.x","IntelliJ IDEA","","","","","","","","","","","","","","JavaScript","Java","Java","Так","JavaScript","Самостійно","Веб-фронтенд","","5","3","27","Ні","Так"
"2021/01/07 7:11:30 PM GMT+2","Pascal/Delphi","Так","C++","","","","","","","","","","","","","","","","Qt","CLion","","","","","","","","","","","","JavaScript;Python","JavaScript","C++","Так","Python","Самостійно","Десктоп-розробка","","2","2","22","Так","Не пам'ятаю"
"2021/01/07 7:12:26 PM GMT+2","Swift","Так","Swift","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Swift","Swift","Swift","Так","Objective-C","Самостійно","Мобільна розробка","iOS","1","1","23","Так","Ні"
"2021/01/07 7:20:59 PM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","",".net framework","Visual Studio","","","","","","","","","","","","JavaScript;TypeScript;PL-SQL","C#","JavaScript;C#;TypeScript","Ні","","Самостійно","Бекенд програмування","","12","11","32","Так","Ні"
"2021/01/07 7:24:00 PM GMT+2","C++","Так","Kotlin","","","","","","","","","","","","","","","","Android","Android Studio","","","","","","","","","","","","Java","Kotlin","Java;Kotlin","Ні","","Самостійно","Мобільна розробка","Android","1","1","24","Так","Ні"
"2021/01/07 7:28:06 PM GMT+2","Pascal/Delphi","Так","C++","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Python;C;T-SQL;PL-SQL","Python","Java;C++","Так","TypeScript","За допомогою колег","Бекенд програмування","","5","5","25","Так","Так"
"2021/01/07 7:35:18 PM GMT+2","Basic","Так","Java","","","","","","","","","Spring","","Kafka;Spark","","","11.x","Eclipse ","","","","","","","","","","","","","","Python;T-SQL;PL-SQL","Java","","Ні","","Самостійно","Бекенд програмування","","","","","Так","Ні"
"2021/01/07 7:36:51 PM GMT+2","JavaScript","Так","TypeScript","Angular","","","","","","","WebStorm","","","","","","","","","","","","","","","","","","","","","JavaScript","TypeScript","JavaScript;TypeScript","Ні","","За допомогою професійних викладачів (курсів або індивідуальних занять)","Веб-фронтенд","","1.5","1","27","Так","Так"
"2021/01/07 7:43:27 PM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","",".net,angular","visual studio","","","","","","","","","","","","JavaScript;TypeScript;T-SQL","C#","","Ні","","","Бекенд програмування","","8","8","29","Так","Так"
"2021/01/07 7:47:15 PM GMT+2","Java","Так","JavaScript","React","","Koa","","","","","Visual Studio Code ❤","","","","","","","","","","","","","","","","","","","","","TypeScript","Go","JavaScript;Python","Так","Go","Самостійно","Веб-фронтенд","","3","2","28","Так","Не пам'ятаю"
"2021/01/07 7:58:38 PM GMT+2","Pascal/Delphi","Так","Java","","","","","","","","","","","","","","8.x","IntelliJ IDEA","","","","","","","","","","","","","","Groovy","Java","","Ні","","","Бекенд програмування","","14","7","36","Ні","Так"
"2021/01/07 7:59:40 PM GMT+2","Pascal/Delphi","Так","C++","","","","","","","","","","","","","","","","boost","visual studio","","","","","","","","","","","","Python;Go","Go","","Так","R","За допомогою професійних викладачів (курсів або індивідуальних занять)","Системне програмування","","5","5","25","Так","Ні"
"2021/01/07 8:07:58 PM GMT+2","C++","Так","Kotlin","","","","","","","","","","","","","","","","Retrofit, OkHttp, Room, Coroutines","intellij idea","","","","","","","","","","","","Java;C++","Swift","Kotlin","Ні","","","IoT","","3","2","23","Так","Ні"
"2021/01/07 8:12:02 PM GMT+2","JavaScript","Так","JavaScript","React;Vue.js","","","","","","","VS Code","","","","","","","","","","","","","","","","","","","","","TypeScript","JavaScript","JavaScript","Ні","","","Веб-фронтенд","","1","1","36","Так","Ні"
"2021/01/07 8:12:53 PM GMT+2","Java","Так","Kotlin","","","","","","","","","","","","","","","","Android","Android studio","","","","","","","","","","","","Java","Kotlin","Kotlin","Ні","","","Мобільна розробка","Android","5","3","28","Так","Так"
"2021/01/07 8:14:58 PM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C#","C#","Ні","","Самостійно","Бекенд програмування","","","","","",""
"2021/01/07 8:20:42 PM GMT+2","Basic","Так","Python","","","","","","","","","","","","","","","","","","","","NumPy;pandas;Spark","Ні","","","","","","","","Java;Kotlin;Scala;T-SQL","Kotlin","Java;Kotlin;Scala","Так","Swift","Самостійно","Обробка масивів даних","","15","5","38","Ні","Так"
"2021/01/07 8:26:02 PM GMT+2","Basic","Так","Java","","","","","","","","","Spring","","","","","< 8","Idea","","","","","","","","","","","","","","JavaScript","Java","","Ні","","Самостійно","Бекенд програмування","","8","5","38","Так","Не пам'ятаю"
"2021/01/07 8:26:38 PM GMT+2","Java","Так","Java","","","","","","","","","Spring","Hibernate","Kafka","Spring Cloud","","8.x","IntelliJ","","","","","","","","","","","","","","","Java","","Ні","","Самостійно","Бекенд програмування","","1.5","1.5","22","Так","Так"
"2021/01/07 8:26:47 PM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","","ASP.NET Core","Visual Studio","","","","","","","","","","","","JavaScript;TypeScript","C#","JavaScript;C#","Ні","","","Бекенд програмування","","1","4","22","Так","Ні"
"2021/01/07 8:28:08 PM GMT+2","JavaScript","Так","JavaScript","React","","Express","","React Native","","","WebStorm","","","","","","","","","","","","","","","","","","","","","TypeScript","TypeScript","JavaScript","Ні","","","Веб-фронтенд","","1","1","16","Так","Ні"
"2021/01/07 8:31:22 PM GMT+2","Python","Так","Python","","","","","","","","","","","","","","","","","","","","Keras;TensorFlow;NumPy;pandas;Spark","Ні","","","","","","","","","Python","Python","Ні","","","Обробка масивів даних","","1","1","30","Так","Ні"
"2021/01/07 8:31:37 PM GMT+2","Java","Так","TypeScript","jQuery","","Express","","","","Nact","Visual studio code","","","","","","","","","","","","","","","","","","","","","JavaScript","TypeScript","","Так","C++","Самостійно","Бекенд програмування","","4","1","25","Так","Ні"
"2021/01/07 8:34:58 PM GMT+2","Basic","Так","JavaScript","React","","Express","","React Native","","","vscode","","","","","","","","","","","","","","","","","","","","","TypeScript","TypeScript","JavaScript;TypeScript","Ні","","","Веб-фронтенд","","4","4","39","Так","Так"
"2021/01/07 8:38:06 PM GMT+2","Java","Так","Java","","","","","","","","","Spring","","","","","8.x","","","","","","","","","","","","","","","JavaScript","Java","Java","Ні","","Самостійно","Бекенд програмування","","","","","Ні","Ні"
"2021/01/07 8:40:26 PM GMT+2","Java","Так","JavaScript","React","","Koa","","","","","Visual Studio Code","","","","","","","","","","","","","","","","","","","","","TypeScript","TypeScript","JavaScript;TypeScript;Clojure","Так","пока не уверен","Самостійно","Веб-фронтенд","","0","0","20","Так","Ні"
"2021/01/07 8:42:15 PM GMT+2","C++","Так","Java","","","","","","","","","Spring","","","","","8.x","Intellij IDEA","","","","","","","","","","","","","","JavaScript;TypeScript;PL-SQL","Java","","Ні","","","Бекенд програмування","","1","1","32","Так","Не пам'ятаю"
"2021/01/07 8:43:45 PM GMT+2","Basic","Так","Java","","","","","","","","","","Helix","Ignite","","Lombok, Unirest, Guava, joda-time, TestNG, Slf4j, Mockito","11.x","IntelliJ IDEA","","","","","","","","","","","","","","JavaScript;TypeScript;SQL","Java","","Так","TypeScript","Самостійно","Бекенд програмування","","16","15","36","Так","Так"
"2021/01/07 8:54:29 PM GMT+2","PHP","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Laravel","","7.x","PHPStorm","","JavaScript;Python;TypeScript;Dart","PHP","JavaScript;PHP","Так","Python","Самостійно","Бекенд програмування","","9","9","31","Так","Не пам'ятаю"
"2021/01/07 8:57:52 PM GMT+2","Pascal/Delphi","Так","Python","","","","","","","","","","","","","","","","","","","","NumPy;pandas","Ні","","SublimeText","","","","","","JavaScript","Python","Python","Так","C++","Самостійно","Обробка масивів даних","","1","2","31","Так","Ні"
"2021/01/07 9:00:42 PM GMT+2","Basic","Так","JavaScript","React","","","","","","","Visual Studio Code","","","","","","","","","","","","","","","","","","","","","Python","JavaScript","","Так","Dart","Самостійно","Веб-фронтенд","","1","1","37","Ні","Ні"
"2021/01/07 9:02:18 PM GMT+2","C","Так","Python","","","","","","","","","","","","","","","","","","Flask","","NumPy;pandas","Ні","SciPy","PyCharm","","","","","","JavaScript","Python","JavaScript;Python","Ні","","За допомогою професійних викладачів (курсів або індивідуальних занять)","Бекенд програмування","","","1","19","Так","Ні"
"2021/01/07 9:03:46 PM GMT+2","C++","Так","C#","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JavaScript","C#","JavaScript;C#;TypeScript","Ні","","","Бекенд програмування","","10","10","31","Так","Так"
"2021/01/07 9:04:49 PM GMT+2","Python","Так","Python","","","","","","","","","","","","","","","","","","Django","","","Ні","aiohttp,aiogram,scrapy,bs4,requests","VSCode","","","","","","JavaScript","Python","Python","Так","C","Самостійно","Бекенд програмування","","3","3","13","Так","Ні"
"2021/01/07 9:15:49 PM GMT+2","Python","Так","Python","","","","","","","","","","","","","","","","","","Django","","pandas","Ні","Selenium, request, datetime, json, kubernetes, boto","PyCharm","","","","","","Java;Ruby;Go;Groovy","Java","Java;Python;Go;R","Так","JavaScript","Самостійно","Web test automation","","2","2","45","Так","Ні"
"2021/01/07 9:16:18 PM GMT+2","Asm","Так","Java","","","","","","","","","Spring","","Kafka;Spark","","","11.x","IntelliJ IDEA","","","","","","","","","","","","","","JavaScript;TypeScript;Scala","Scala","TypeScript","Ні","","Самостійно","Бекенд програмування","","20","14","45","Так","Не пам'ятаю"
"2021/01/07 9:16:23 PM GMT+2","Basic","Так","C++","","","","","","","","","","","","","","","","Boost","Qt creator","","","","","","","","","","","","Python;Swift;C;Objective-C","Swift","","Так","Swift","Самостійно","Мобільна розробка","iOS","8","8","30","Так","Так"
"2021/01/07 9:17:47 PM GMT+2","PHP","Так","Python","","","","","","","","","","","","","","","","","","Django;Flask","","NumPy;pandas","Ні","","PyCharm","","","","","","Go","Go","Python","Так","Go","Самостійно","Бекенд програмування","","2","2","18","Так","Ні"
"2021/01/07 9:21:46 PM GMT+2","C++","Так","Java","","","","","","","","","Spring","","","","","11.x","Intellij IDEA","","","","","","","","","","","","","","Kotlin","Kotlin","Java;Kotlin","Ні","","","Бекенд програмування","","1.5","1.5","21","Так","Так"
"2021/01/07 9:25:37 PM GMT+2","Java","Так","TypeScript","","","NestJS","","","","","","","","","","","","","","","","","","","","","","","","","","JavaScript","TypeScript","","Ні","","","Бекенд програмування","","","","","Так","Ні"
"2021/01/07 9:26:51 PM GMT+2","Python","Так","Python","","","","","","","","","","","","","","","","","","Django;Flask;WebPy","","PyTorch;TensorFlow;NumPy","Ні","aiogram, pyrogram, telebot","PyCharm","","","","","","","Go","Python","Так","Go","За допомогою професійних викладачів (курсів або індивідуальних занять)","Бекенд програмування","","1","1","20","Так","Ні"
"2021/01/07 9:29:55 PM GMT+2","GwBasic","Так","Kotlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Так","Dart","Самостійно","Мобільна розробка","Android","6","3","32","Так","Не пам'ятаю"
"2021/01/07 9:32:34 PM GMT+2","JavaScript","Так","JavaScript","React","","Next.js","","React Native","","","","","","","","","","","","","","","","","","","","","","","","","JavaScript","JavaScript","Ні","","","Веб-фронтенд","","","","","Так","Ні"
"2021/01/07 9:32:58 PM GMT+2","ActionScript","Так","TypeScript","React","","","","","","","Vs Code","","","","","","","","","","","","","","","","","","","","","JavaScript;TypeScript","Go","","Так","Go","Самостійно","Веб-фронтенд","","3","3","32","Так","Так"
"2021/01/07 9:35:59 PM GMT+2","Pascal/Delphi","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Laravel;Yii","","7.x","phpstorm","","JavaScript","PHP","PHP","Так","JavaScript","За допомогою професійних викладачів (курсів або індивідуальних занять)","Бекенд програмування","","3","1","30","Так","Ні"
"2021/01/07 9:41:06 PM GMT+2","C","Так","Python","","","","","","","","","","","","","","","","","","Django","","TensorFlow","Ні","","","","","","","","C;Clojure","JavaScript","Rust","Так","JavaScript","Самостійно","IoT","","","","","Так","Так"
"2021/01/07 9:45:13 PM GMT+2","APEX, LWC","Ні","","","","","","","","","","","","","","","","","LWC","WebStorm","","","","","","","","","","","JavaScript;APEX","","APEX, LWC","JavaScript;Java","Так","","За допомогою професійних викладачів (курсів або індивідуальних занять)","Full stack","","3","1","36","Так","Не пам'ятаю"
"2021/01/07 9:47:45 PM GMT+2","C#","Ні","","","","","","","","","","","","","","","","","Yii2, jQuery, Vue, React","PhpStorm","","","","","","","","","","","JavaScript;PHP","","PHP","JavaScript;PHP","Так","C#","За допомогою професійних викладачів (курсів або індивідуальних занять)","Бекенд програмування","","2","2","22","Так","Не пам'ятаю"
"2021/01/07 9:48:51 PM GMT+2","C#","Так","C#","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PHP","C#","C#","Так","Java","За допомогою колег","Бекенд програмування","","","","","Так","Ні"
"2021/01/07 9:48:58 PM GMT+2","C#","Так","C#","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PHP","C#","C#","Так","Java","За допомогою колег","Бекенд програмування","","","","","Так","Ні"
"2021/01/07 9:52:06 PM GMT+2","C","Так","Go","","","","","","","","","","","","","","","","","Goland","","","","","","","","","","","","","Go","","Ні","","","Бекенд програмування","","5","2","27","Так","Так"
"2021/01/07 10:11:45 PM GMT+2","Python","Так","JavaScript","React","","","","React Native","","","Web storm","","","","","","","","","","","","","","","","","","","","","TypeScript","JavaScript","JavaScript","Так","Java","За допомогою професійних викладачів (курсів або індивідуальних занять)","Веб-фронтенд","","1","1","29","Так","Ні"
"2021/01/07 10:13:50 PM GMT+2","C","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Yii","","7.x","","","JavaScript","PHP","PHP","Ні","","Самостійно","Бекенд програмування","","8","6","27","Так","Ні"
"2021/01/07 10:18:20 PM GMT+2","PHP","Так","Java","","","","","","","","","","","","","AWS Serverless Application Model","8.x","IDEA","","","","","","","","","","","","","","Python;Ruby","Python","Python","Так","Java","Самостійно","Бекенд програмування","","8","1","34","Ні","Ні"
"2021/01/07 10:20:37 PM GMT+2","C","Так","Java","","","","","","","","","Spring","","","","","14.x","Intellij IDEA","","","","","","","","","","","","","","","Java","Java","Ні","","","Бекенд програмування","","2","2","21","Так","Так"
"2021/01/07 10:21:58 PM GMT+2","Pascal/Delphi","Так","Java","","","","","","","","","Spring","Spring MVC","Kafka","","","8.x","intellij idea","","","","","","","","","","","","","","JavaScript;Kotlin","Java","Java","Так","Python","Самостійно","Бекенд програмування","","6","5","38","Так","Так"
"2021/01/07 10:22:48 PM GMT+2","Java","Так","Java","","","","","","","","","Vert.x","","Kafka;Hadoop","","","< 8","Intellij idea ","","","","","","","","","","","","","","JavaScript;Kotlin","Python","","Так","Python","Самостійно","","","","","","",""
"2021/01/07 10:25:12 PM GMT+2","C++","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Laravel","","7.x","PhpStorm","","JavaScript","PHP","JavaScript;PHP","Ні","","Самостійно","Бекенд програмування","","1","1","21","Так","Ні"
